Datum;Beginntum;Endetum;Kategorien
4.1.2016;09:00:00;10:00:00;S-B - intern (901106)
4.1.2016;10:00:00;12:00:00;ISO Zertifizierung smO (2990191)
5.1.2016;09:00:00;10:30:00;ISO Zertifizierung smO (2990191)
5.1.2016;10:30:00;12:00:00;S-B - intern (901106)
6.1.2016;09:20:00;09:45:00;S-B - intern (901106)
6.1.2016;09:45:00;11:35:00;S-B - intern (901106)
6.1.2016;13:30:00;15:30:00;ISO Zertifizierung smO (2990191)
7.1.2016;09:50:00;10:10:00;S-B - intern (901106)
7.1.2016;10:10:00;12:00:00;ISO Zertifizierung smO (2990191),ISO Zertifizierung SWO Netz (2910667)
7.1.2016;12:00:00;12:40:00;S-B - intern (901106)
8.1.2016;09:30:00;10:00:00;S-B - intern (901106)
8.1.2016;10:00:00;11:30:00;ISO Zertifizierung SWO Netz (2910667)
11.1.2016;07:15:00;07:30:00;S-B - intern (901106)
11.1.2016;07:30:00;08:30:00;ISO Zertifizierung SWO Netz (2910667)
11.1.2016;08:30:00;10:30:00;ISO Zertifizierung SWO Netz (2910667)
11.1.2016;10:30:00;11:00:00;ISO Zertifizierung SWO Netz (2910667)
11.1.2016;11:00:00;11:30:00;ISO Zertifizierung SWO Netz (2910667)
11.1.2016;11:30:00;11:55:00;E - intern (901107)
12.1.2016;10:00:00;10:25:00;S-B - intern (901106)
12.1.2016;10:25:00;11:30:00;E - MPM (2900041)
12.1.2016;11:30:00;11:45:00;ISO Zertifizierung SWO Netz (2910667)
12.1.2016;11:45:00;12:15:00;E - MPM (2900041)
13.1.2016;09:30:00;10:00:00;S-B - intern (901106)
13.1.2016;10:00:00;11:45:00;E - MPM (2900041)
13.1.2016;12:30:00;12:45:00;S-B - intern (901106)
13.1.2016;12:45:00;14:00:00;ISO Zertifizierung SWO Netz (2910667)
13.1.2016;14:00:00;15:45:00;ISO Zertifizierung SWO Netz (2910667)
13.1.2016;15:45:00;16:00:00;ISO Zertifizierung SWO Netz (2910667)
14.1.2016;09:20:00;09:50:00;S-B - intern (901106)
14.1.2016;09:50:00;10:40:00;E - MPM (2900041)
14.1.2016;10:40:00;12:00:00;ISO Zertifizierung SWO Netz (2910667)
15.1.2016;09:30:00;10:00:00;S-B - intern (901106)
15.1.2016;10:30:00;11:00:00;S-B - intern (901106)
15.1.2016;10:00:00;10:30:00;E - MPM (2900041)
15.1.2016;11:00:00;12:00:00;E - MPM (2900041)
18.1.2016;09:10:00;09:40:00;S-B - intern (901106)
18.1.2016;10:00:00;13:40:00;E - MPM (2900041)
18.1.2016;09:40:00;10:00:00;ISO Zertifizierung SWO Netz (2910667)
19.1.2016;09:00:00;09:30:00;S-B - intern (901106)
19.1.2016;09:30:00;12:42:00;E - MPM (2900041)
20.1.2016;08:30:00;09:00:00;S-B - intern (901106)
20.1.2016;09:00:00;09:50:00;S-B - intern (901106)
20.1.2016;09:50:00;11:50:00;E - MPM (2900041)
20.1.2016;11:50:00;12:15:00;S-B - intern (901106)
25.1.2016;09:00:00;09:30:00;S-B - intern (901106)
25.1.2016;09:30:00;09:50:00;S-B - intern (901106)
25.1.2016;09:50:00;12:15:00;ISO Zertifizierung SWO Netz (2910667)
